id,nombre,lat,lon,demanda,hora_inicio,hora_fin,tiempo_servicio
1,Cliente Ruzafa,39.4623,-0.3737,10,08:00,12:00,15
2,Cliente Malvarrosa,39.4790,-0.3277,8,09:00,14:00,20
3,Cliente Ciudad de las Artes,39.4540,-0.3540,15,08:30,13:00,10
4,Cliente Benimaclet,39.4870,-0.3600,5,10:00,15:00,15
5,Cliente Campanar,39.4810,-0.3980,12,08:00,11:00,25
6,Cliente Patraix,39.4610,-0.4020,7,09:30,16:00,15
7,Cliente Mislata,39.4750,-0.4180,20,08:00,17:00,30
8,Cliente Paterna,39.5020,-0.4400,18,09:00,14:00,20
9,Cliente Alboraya,39.5040,-0.3560,6,10:00,13:00,10
10,Cliente Catarroja,39.4030,-0.4030,25,08:00,12:00,20
11,Cliente Torrent,39.4370,-0.4650,10,09:00,18:00,15
12,Cliente Burjassot,39.5090,-0.4110,9,08:30,12:30,15
13,Cliente El Cabanyal,39.4680,-0.3260,14,09:00,15:00,20
14,Cliente Quart de Poblet,39.4770,-0.4460,11,10:00,16:00,10
15,Cliente Alfafar,39.4290,-0.3850,16,08:00,13:00,15
